secid,date,low,high,open,close
108105,20131004,1677.33,1691.94,1678.79,1690.5
108105,20131007,1674.7,1687.15,1687.15,1676.12
108105,20131008,1655.03,1676.79,1676.22,1655.45
108105,20131009,1646.47,1662.47,1656.99,1656.4
108105,20131010,1660.88,1692.56,1660.88,1692.56
108105,20131011,1688.52,1703.44,1691.09,1703.2
108105,20131014,1692.13,1711.03,1699.86,1710.14
108105,20131015,1695.93,1711.57,1709.17,1698.06
108105,20131016,1700.49,1721.76,1700.49,1721.54
108105,20131017,1714.12,1733.45,1720.17,1733.15
108105,20131018,1735.74,1745.31,1736.72,1744.5
108105,20131021,1740.67,1747.79,1745.2,1744.66
108105,20131022,1746.48,1759.33,1746.48,1754.67
108105,20131023,1740.5,1752.27,1752.27,1746.38
108105,20131024,1745.5,1753.94,1747.48,1752.07
108105,20131025,1752.45,1759.82,1756.01,1759.77
108105,20131028,1757.67,1764.99,1759.42,1762.11
108105,20131029,1762.93,1772.09,1762.93,1771.95
108105,20131030,1757.24,1775.22,1772.27,1763.31
108105,20131031,1755.72,1768.53,1763.24,1756.54
108105,20131101,1752.7,1765.67,1758.7,1761.64
108105,20131104,1761.56,1768.78,1763.4,1767.93
108105,20131105,1755.76,1767.03,1765.67,1762.97
108105,20131106,1764.4,1773.74,1765,1770.49
108105,20131107,1746.2,1774.54,1770.74,1747.15
108105,20131108,1747.63,1770.78,1748.37,1770.61
108105,20131111,1767.85,1773.44,1769.96,1771.89
108105,20131112,1762.29,1771.78,1769.51,1767.69
108105,20131113,1760.64,1782,1764.37,1782
108105,20131114,1780.22,1791.53,1782.75,1790.62
108105,20131115,1790.66,1798.22,1790.66,1798.18
108105,20131118,1788,1802.33,1798.82,1791.53
108105,20131119,1784.72,1795.51,1790.79,1787.87
108105,20131120,1777.23,1795.73,1789.59,1781.37
108105,20131121,1783.52,1797.16,1783.52,1795.85
108105,20131122,1794.7,1804.84,1797.21,1804.76
108105,20131125,1800.58,1808.1,1806.33,1802.48
108105,20131126,1800.77,1808.42,1802.87,1802.75
108105,20131127,1802.77,1808.27,1803.48,1807.23
108105,20131129,1803.98,1813.55,1808.69,1805.81
108105,20131202,1798.6,1810.02,1806.55,1800.9
108105,20131203,1787.85,1800.1,1800.1,1795.15
108105,20131204,1779.09,1799.8,1793.15,1792.81
108105,20131205,1783.38,1792.82,1792.82,1785.03
108105,20131206,1788.36,1806.04,1788.36,1805.09
108105,20131209,1806.21,1811.52,1806.21,1808.37
108105,20131210,1801.75,1808.52,1807.6,1802.62
108105,20131211,1780.09,1802.97,1802.76,1782.22
108105,20131212,1772.28,1782.99,1781.71,1775.5
108105,20131213,1772.45,1780.92,1777.98,1775.32
108105,20131216,1777.48,1792.22,1777.48,1786.54
108105,20131217,1777.05,1786.77,1786.47,1781
108105,20131218,1767.99,1811.08,1781.46,1810.65
108105,20131219,1801.35,1810.88,1809,1809.6
108105,20131220,1810.25,1823.75,1810.39,1818.32
108105,20131223,1822.92,1829.75,1822.92,1827.99
108105,20131224,1828.02,1833.32,1828.02,1833.32
108105,20131226,1834.96,1842.84,1834.96,1842.02
108105,20131227,1839.81,1844.89,1842.97,1841.4
